ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CG8G9,6306975.24306,374840.155671,1030116685.67,-6306975.24306,-374840.155671,1031504170.52
CA9A10,2925998.73144,124944.309291,345422631.188,-2925998.73144,-124944.309291,341771069.911
CB9B10,6919601.26856,235392.908271,649156665.562,-6919601.26856,-235392.908271,645504329.927
CC9C10,4296288.55504,234403.504276,643344647.472,-4296288.55504,-234403.504276,645874626.046
CD9D10,6479051.46708,428304.366206,1180344417.89,-6479051.46708,-428304.366206,1175329596.24
CE9E10,8280659.97788,341544.239141,937227684.004,-8280659.97788,-341544.239141,941265631.272
CF9F10,4124023.25665,245979.081796,674738140.66,-4124023.25665,-245979.081796,678146809.22
CG9G10,5721576.74335,356431.591024,978482459.912,-5721576.74335,-356431.591024,981891290.722
CA10A11,2840580.48663,99123.2525804,273148949.642,-2840580.48663,-99123.2525804,272028939.55
CB10B11,6236219.51337,209572.25879,576884080.03,-6236219.51337,-209572.25879,575763343.316
CC10C11,4075055.15787,214881.843859,588804663.126,-4075055.15787,-214881.843859,593045478.101
CD10D11,5967642.79045,400423.337779,1102935742.42,-5967642.79045,-400423.337779,1099392615.36
CE10E11,7525302.05169,323570.171223,887035031.188,-7525302.05169,-323570.171223,892600910.54
CF10F11,3921310.79773,227488.361372,622968517.976,-3921310.79773,-227488.361372,628217469.571
CG10G11,5155489.20227,337940.774401,926712563.436,-5155489.20227,-337940.774401,931961695.768
CA11A12,2728465.29302,73936.2423992,202731008.287,-2728465.29302,-73936.2423992,203918324.909
CB11B12,5579534.70698,184385.633261,506467175.96,-5579534.70698,-184385.633261,507653806.974
CC11C12,3834697.02047,195145.680732,533743841.728,-3834697.02047,-195145.680732,539557402.3
CD11D12,5458248.99394,372084.201659,1024320351.02,-5458248.99394,-372084.201659,1022142758.11
CE11E12,6787053.98559,305194.87696,835796090.174,-6787053.98559,-305194.87696,842775733.105
CF11F12,3699193.44894,208900.526965,571022457.073,-3699193.44894,-208900.526965,577930441.233
CG11G12,4608806.55106,319352.838028,874766215.335,-4608806.55106,-319352.838028,881674393.82
CA12A13,2590285.24199,49322.6622615,134000092.451,-2590285.24199,-49322.6622615,137274549.987
CB12B13,4948914.75801,159772.416277,437737239.75,-4948914.75801,-159772.416277,441011049.772
CC12C13,3575060.8351,175226.720851,478248876.804,-3575060.8351,-175226.720851,485498087.875
CD12D13,4950628.36534,343352.402001,944678732.196,-4950628.36534,-343352.402001,943759478.811
CE12E13,6066310.79956,286474.613185,783666504.088,-6066310.79956,-286474.613185,791943868.427
CF12F13,3457561.07381,190199.492092,518855888.733,-3457561.07381,-190199.492092,527241317.771
CG12G13,4081638.92619,300651.693336,822599337.319,-4081638.92619,-300651.693336,830984976.03
CA13A14,2426610.73886,25225.2886577,66797022.1169,-2426610.73886,-25225.2886577,71942065.5004
CB13B14,4343789.26114,135675.385051,370535095.276,-4343789.26114,-135675.385051,375679522.501
CC13C14,3296018.88466,155156.898551,422407150.839,-3296018.88466,-155156.898551,430955791.191
CD13D14,4444571.18664,314291.547217,864186248.243,-4444571.18664,-314291.547217,864417261.45
CE13E14,5363409.9287,267462.939481,730794370.055,-5363409.9287,-267462.939481,740251797.092
CF13F14,3196286.04683,171367.929853,466421404.663,-3196286.04683,-171367.929853,476102209.528
CG13G14,3574113.95317,281820.011193,770164518.222,-3574113.95317,-281820.011193,779845543.338
CA14A15,2237953.8936,1589.9766654,971285.68008,-2237953.8936,-1589.9766654,7773585.97959
CB14B15,3763646.1064,112040.406979,304710251.088,-3763646.1064,-112040.406979,311511987.297
CC14C15,2997469.84696,134968.381061,366306739.206,-2997469.84696,-134968.381061,376019356.632
CD14D15,3939895.95036,284963.707297,783013953.909,-3939895.95036,-284963.707297,784286436.224
CE14E15,4678634.20268,248211.114207,677321340.327,-4678634.20268,-248211.114207,687839787.812
CF14F15,2915221.93344,152387.222857,413668139.814,-2915221.93344,-152387.222857,424461585.897
CG14G15,3086378.06656,262839.190936,717410916.715,-3086378.06656,-262839.190936,728204633.435
CA15A16,2024771.59594,-21634.5866172,-63619706.4878,-2024771.59594,21634.5866172,-55370519.907
CB15B16,3208028.40406,88816.0923476,240120007.782,-3208028.40406,-88816.0923476,248368500.13
CC15C16,2679339.53497,114693.599467,310036477.064,-2679339.53497,-114693.599467,320778320.004
CD15D16,3436446.08219,255429.699826,701329388.744,-3436446.08219,-255429.699826,703533960.297
CE15E16,4012214.38284,228768.456741,623383631.99,-4012214.38284,-228768.456741,634842880.086
CF15F16,2614202.12505,133237.502843,360541770.869,-2614202.12505,-133237.502843,372264494.766
CG15G16,2618597.87495,243689.235396,664284021.697,-2618597.87495,-243689.235396,676006772.982
CA16A17,1787468.31671,-44497.473863,-127111795.743,-1787468.31671,44497.473863,-117624310.504
CB16B17,2676531.68329,65953.9601977,176629383.617,-2676531.68329,-65953.9601977,186117397.47
CC16C17,2341581.58886,94365.2086713,253685946.316,-2341581.58886,-94365.2086713,265322701.376
CD16D17,2934087.13395,225749.414869,619297434.343,-2934087.13395,-225749.414869,622324347.434
CE16E17,3364331.27719,209182.731457,569113054.356,-3364331.27719,-209182.731457,581391968.659
CF16F17,2293038.39513,113896.907062,306983315.094,-2293038.39513,-113896.907062,319449673.746
CG16G17,2170961.60487,224349.251609,610726253.038,-2170961.60487,-224349.251609,623194630.813
CA17A18,1526398.55083,-67043.0564493,-189631266.714,-1526398.55083,67043.0564493,-179105543.758
CB17B18,2168801.44917,43405.1789828,114105638.017,-2168801.44917,-43405.1789828,124622846.389
CC17C18,1984178.2689,74017.0736865,197346939.116,-1984178.2689,-74017.0736865,209746966.159
CD17D18,2432704.12744,195981.740088,537080472.47,-2432704.12744,-195981.740088,540819098.011
CE17E18,2735117.60366,189499.959636,514637106.624,-2735117.60366,-189499.959636,527612671.375
CF17F18,1951519.46799,94346.3311637,252936380.997,-1951519.46799,-94346.3311637,265968440.403
CG17G18,1743680.53201,204792.772895,556670579.482,-1743680.53201,-204792.772895,569689671.439
CA18A19,1241868.13221,-89332.0765802,-251331239.029,-1241868.13221,89332.0765802,-239995182.162
CB18B19,1684531.86779,21141.5706157,52444540.9497,-1684531.86779,-21141.5706157,63834097.4365
CC18C19,1607139.70996,53675.3766812,141097473.164,-1607139.70996,-53675.3766812,154117098.583
CD18D19,1932202.49543,166187.960612,454845174.142,-1932202.49543,-166187.960612,459188609.226
CE18E19,2124657.79461,169769.08158,460091118.339,-2124657.79461,-169769.08158,473638830.351
CF18F19,1589410.71222,74534.6665857,198301552.446,-1589410.71222,-74534.6665857,211639113.775
CG18G19,1336989.28778,185023.420507,502098400.12,-1336989.28778,-185023.420507,515530412.669
CA19A20,934117.402005,-111410.429692,-312267944.135,-934117.402005,111410.429692,-300489419.173
CB19B20,1223482.598,-1110.09066703,-8753638.34524,-1223482.598,1110.09066703,2648139.67658
CC19C20,1210512.79765,33395.5035188,85113262.6493,-1210512.79765,-33395.5035188,98562006.7039
CD19D20,1432495.34239,136408.280536,372741327.76,-1432495.34239,-136408.280536,377504215.189
CE19E20,1532991.85996,150046.880119,405591094.784,-1532991.85996,-150046.880119,419666745.87
CF19F20,1206471.75107,54740.635792,143414053.466,-1206471.75107,-54740.635792,157659443.39
