MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA8A9,5864242.06376247,-78986.3626237984,-214193802.490872,-5864242.06376247,78986.3626237984,-220231191.940019
CB8B9,8618957.93623762,74218.3284314342,207119384.334839,-8618957.93623762,-74218.3284314342,201081422.03805
CC8C9,8592987.80575137,14903.436825812,41360488.3390441,-8592987.80575137,-14903.436825812,40608414.2029218
CD8D9,9544810.48166355,130191.665863311,358968760.912627,-9544810.48166355,-130191.665863311,357085401.335584
CE8E9,9894201.71258525,160168.526968171,439647747.839792,-9894201.71258525,-160168.526968171,441279150.485149
CF8F9,7669584.26535569,76149.2247654958,207109143.725704,-7669584.26535569,-76149.2247654958,211711592.484523
CG8G9,6813615.73464441,229355.179772284,628425664.8677,-6813615.73464441,-229355.179772284,633027823.879862
CA9A10,5494174.32284956,-90929.5397247059,-247637783.623327,-5494174.32284956,90929.5397247059,-252474684.862555
CB9B10,7922625.6771505,62275.4722320229,173676273.939754,-7922625.6771505,-62275.4722320229,168838823.336372
CC9C10,7999285.87131053,8429.48271727694,23231217.2571126,-7999285.87131053,-8429.48271727694,23130937.6879105
CD9D10,8830996.94354352,122375.70701373,337249634.63598,-8830996.94354352,-122375.70701373,335816753.939534
CE9E10,9137717.1851462,156131.089242592,428372112.065558,-9137717.1851462,-156131.089242592,430348878.768699
CF9F10,7123926.68224864,75255.8297154398,204569482.546838,-7123926.68224864,-75255.8297154398,209337580.888081
CG9G10,6292873.31775146,228461.958806301,625886478.464847,-6292873.31775146,-228461.958806301,630654294.969806
CA10A11,5111936.21008712,-102237.545494048,-279289567.397929,-5111936.21008712,102237.545494048,-283016932.819333
CB10B11,7238463.78991293,50967.7499415535,142025244.91856,-7238463.78991293,-50967.7499415535,138297379.759984
CC10C11,7398918.94135725,2011.70223839973,5283746.45580465,-7398918.94135725,-2011.70223839973,5780615.85539387
CD10D11,8120341.63095609,114409.562766454,315132492.276718,-8120341.63095609,-114409.562766454,314120102.938776
CE10E11,8384739.42768707,151835.62148605,416395465.929803,-8384739.42768707,-151835.62148605,418700452.24347
CF10F11,6577095.24414059,73903.3201780716,200780332.407434,-6577095.24414059,-73903.3201780716,205687928.57196
CG10G11,5773304.75585942,227109.588886279,622097691.600298,-5773304.75585942,-227109.588886279,627005047.274239
CA11A12,4718169.23258448,-112955.291021956,-309274609.334183,-4718169.23258448,112955.291021956,-311979491.286576
CB11B12,6565830.76741565,40250.2650646757,112040898.615581,-6565830.76741565,-40250.2650646757,109335559.240135
CC11C12,6792000.86224767,-4356.073494935,-12500031.8519487,-6792000.86224767,4356.073494935,-11458372.3701938
CD11D12,7412435.706971,106312.544132291,292670611.277933,-7412435.706971,-106312.544132291,292048381.449667
CE11E12,7635563.43078174,147314.244614811,403807427.492905,-7635563.43078174,-147314.244614811,406420917.888555
CF11F12,6028620.87560514,72113.9601866436,195804239.050908,-6028620.87560514,-72113.9601866436,200822541.975632
CG11G12,5255379.12439482,225320.350520816,617121915.480991,-5255379.12439482,-225320.350520816,622140012.383499
CA12A13,4313469.88446244,-123123.857271604,-337707683.119939,-4313469.88446244,123123.857271604,-339473531.87388
CB12B13,5904130.1155375,30081.9373739511,83608459.8858096,-5904130.1155375,-30081.9373739511,81842195.6709215
CC12C13,6178632.92399409,-10677.9339310406,-30132367.1634384,-6178632.92399409,10677.9339310406,-28596269.4572849
CD12D13,6706919.94358863,98103.3488810594,269915558.241144,-6706919.94358863,-98103.3488810594,269652860.604683
CE12E13,6890447.13241777,142596.179506336,390689483.058221,-6890447.13241777,-142596.179506336,393589504.226625
CF12F13,5478056.19622931,69906.9158410106,189695184.5362,-5478056.19622931,-69906.9158410106,194792852.589358
CG12G13,4739543.8037707,223113.409602249,611013127.658038,-4739543.8037707,-223113.409602249,616110625.154333
CA13A14,3898393.51715385,-132780.753119757,-364693616.787322,-3898393.51715385,132780.753119757,-365600525.37134
CB13B14,5252806.48284609,20425.2533000239,56623096.2500521,-5252806.48284609,-20425.2533000239,55715796.9000794
CC13C14,5558906.73502942,-16956.1325698538,-47620342.1347485,-5558906.73502942,16956.1325698538,-45638386.9994472
CD13D14,6003478.23969376,89800.1503304108,246917435.247588,-6003478.23969376,-89800.1503304108,246983391.569671
CE13E14,6149615.02527719,137708.105808533,377115993.27296,-6149615.02527719,-137708.105808533,380278588.673972
CF13F14,4924972.34751382,67298.4013971172,182498978.917463,-4924972.34751382,-67298.4013971172,187642228.766681
CG13G14,4226227.6524862,220504.974855395,603817131.826553,-4226227.6524862,-220504.974855395,608960229.87812
CA14A15,3473457.95661768,-141960.173462085,-390327974.197217,-3473457.95661768,141960.173462085,-390452979.844248
CB14B15,4611342.04338235,11246.0672819075,30989317.038636,-4611342.04338235,-11246.0672819075,30864053.0118552
CC14C15,4932906.76272694,-23191.2934142339,-64966454.018813,-4932906.76272694,23191.2934142339,-62585659.7594736
CD14D15,5301831.91861926,81420.6823091718,223725113.818377,-5301831.91861926,-81420.6823091718,224088638.882068
CE14E15,5413261.31865414,132674.48279485,363155090.161244,-5413261.31865414,-132674.48279485,366554565.21043
CF14F15,4368955.9671859,64301.7772362267,174253583.956043,-4368955.9671859,-64301.7772362267,179406190.843204
CG14G15,3715844.03281427,217508.457255781,595571963.955277,-3715844.03281427,-217508.457255781,600724550.951517
CA15A16,3039146.88339178,-150692.999866985,-414697349.122169,-3039146.88339178,150692.999866985,-414114150.146249
CB15B16,3979253.11660816,2513.13792388502,6620007.0829821,-3979253.11660816,-2513.13792388502,7202251.49838552
CC15C16,4300712.59478327,-29382.5589115355,-82169058.3930112,-4300712.59478327,29382.5589115355,-79435015.620434
