ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CB11B12,5796995.01592652,243508.976001646,667181833.262168,-5796995.01592652,-243508.976001646,672117534.746871
CC11C12,3444581.95093252,271325.47770197,741004456.412419,-3444581.95093252,-271325.47770197,751285670.948419
CD11D12,5456527.20721267,485570.214808189,1336159944.36501,-5456527.20721267,-485570.214808189,1334476237.08003
CE11E12,7178890.84185648,381552.75237794,1043556794.96634,-7178890.84185648,-381552.75237794,1054983343.11233
CF11F12,3481630.66192741,268032.025961294,731759848.579792,-3481630.66192741,-268032.025961294,742416294.207322
CG11G12,4826369.33807258,378480.299877025,1035492710.28277,-4826369.33807258,-378480.299877025,1046148939.04087
CA12A13,2429829.84688511,99067.4979452591,268811107.660073,-2429829.84688511,-99067.4979452591,276060131.03885
CB12B13,5109370.15311478,209510.917891881,572531282.892977,-5109370.15311478,-209510.917891881,579778765.512372
CC12C13,3253804.33822031,242723.208041703,661593962.210562,-3253804.33822031,-242723.208041703,673383682.018803
CD12D13,4949147.61058338,443915.888183968,1220857919.82224,-4949147.61058338,-443915.888183968,1220679465.18959
CE12E13,6389048.05119795,354128.919127844,967454646.289635,-6389048.05119795,-354128.919127844,980254408.913498
CF12F13,3297006.38793255,239946.353047027,653673284.891564,-3297006.38793255,-239946.353047027,666031656.867097
CG12G13,4242193.6120674,350394.777275164,957406604.914114,-4242193.6120674,-350394.777275164,969764670.099284
CA13A14,2313639.18437211,66157.1029244629,177318290.514222,-2313639.18437211,-66157.1029244629,186545775.570322
CB13B14,4456760.81562772,176601.383074078,481040856.548296,-4456760.81562772,-176601.383074078,490266750.359135
CC13C14,3035507.55556062,214391.242600778,583040141.118321,-3035507.55556062,-214391.242600778,596111693.185968
CD13D14,4443305.24633853,402559.884817047,1106460743.32438,-4443305.24633853,-402559.884817047,1107618623.16938
CE13E14,5625187.19810241,326838.023725745,891822263.794794,-5625187.19810241,-326838.023725745,905786866.696804
CF13F14,3083219.17567941,212302.822449741,576952035.944045,-3083219.17567941,-212302.822449741,590713487.529531
CG13G14,3687180.82432057,322751.435577131,880685908.431476,-3687180.82432057,-322751.435577131,894446987.242758
CA14A15,2163560.54013471,34313.6235491112,88918353.7843777,-2163560.54013471,-34313.6235491112,99806575.7357323
CB14B15,3838039.45986509,144758.78970526,392643355.793075,-3838039.45986509,-144758.78970526,403529987.585868
