NODEID,DX,DY,RZ
G12,340.662397267893,-99.0933859619993,0.000665820615320282
A13,358.620068986733,-85.1072384854748,-0.00543281646699004
B13,358.556355026959,-134.287399195684,-0.00272052523361349
C13,358.512733245411,-128.00911385008,-0.0034074983259988
D13,358.480214133679,-145.559134842533,-0.00149900018754398
E13,358.462370047536,-151.066533916082,-0.000681583427962356
F13,358.453158493597,-115.579266361243,-0.00194795301898376
G13,358.448322501748,-103.815371319916,0.000764315888148768
A14,375.616113436431,-88.991869819626,-0.0054502808676336
B14,375.551514102704,-139.520811339794,-0.00273799717889005
C14,375.506205854735,-133.547228198735,-0.00336929958499776
D14,375.471922757599,-151.54142565302,-0.00149775347593809
E14,375.452448812709,-157.193954843896,-0.000620454512919133
F14,375.44186519465,-120.486735189928,-0.00184858049472039
G14,375.43630889405,-108.025945969492,0.000863685479361814
A15,391.773112737185,-92.4530582896667,-0.00545265174264794
B15,391.707685305087,-144.11513011613,-0.00274037304223568
C15,391.660800322741,-138.461702067345,-0.00332338702875821
D15,391.624861579025,-156.824525138322,-0.0014907566806728
E15,391.603835435225,-162.587685837809,-0.000554759582665891
F15,391.59191756768,-124.840158159397,-0.00174903336202755
G15,391.585660463432,-111.728030246399,0.000963232226642355
A16,407.055427484825,-95.4814638465545,-0.00544135213502346
B16,406.98922633479,-148.079695573735,-0.00272909186693361
C16,406.940863398715,-142.746357895876,-0.00327064213121128
D16,406.903364356057,-161.409985387755,-0.00147861343599214
E16,406.880851147302,-167.252352368541,-0.000485024104294812
F16,406.867627026793,-128.636215425426,-0.00165004566405034
G16,406.860686438107,-114.924943994863,0.00106220547018641
A17,421.432426060326,-98.0681973496827,-0.00541781786302736
B17,421.365480481317,-151.423396853216,-0.00270546918861612
C17,421.315731522259,-146.395095466606,-0.00321192905648331
D17,421.27675538331,-165.299139583527,-0.0014619293899053
E17,421.252808601547,-171.192721471605,-0.000411793467867749
F17,421.238300143479,-131.871197369658,-0.00155246928682908
G17,421.2306678303,-117.62039683324,0.00115987848478661
A18,434.878314175679,-100.204792470514,-0.00538293111653793
B18,434.810796008414,-154.154700283109,-0.0026712927030567
C18,434.759718909824,-149.401891081263,-0.00314801883691298
D18,434.719340628875,-168.49312547178,-0.00144131503310508
E18,434.694004306273,-174.413679099129,-0.000335701825553831
F18,434.678200563974,-134.54101191913,-0.00145665848846101
G18,434.670018119203,-119.818480834492,0.00125495438290273
A19,447.372048848176,-101.88318111843,-0.00534081702643856
B19,447.303302044268,-156.281673954034,-0.00262402993942917
C19,447.251634310497,-151.760795084541,-0.00308011690188916
D19,447.210431340563,-170.992911986548,-0.00141736032168477
E19,447.184262645993,-176.920205972387,-0.000257023429526749
F19,447.16782427935,-136.641188628559,-0.00136744697569357
G19,447.158351921664,-121.523666443903,0.00134954102426397
A20,458.900669024308,-103.095627915037,-0.00527776868746096
B20,458.836353375169,-157.812053244384,-0.00259904963291963
C20,458.779331302509,-153.465951946313,-0.00300709954863915
D20,458.734893274055,-172.799282184782,-0.00139108864240663
