MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CC6C7,9758299.42356049,28205.5154137733,78685893.1391848,-9758299.42356049,-28205.5154137733,76444441.6365696
CD6D7,10985422.0054817,145396.035178573,401276696.540165,-10985422.0054817,-145396.035178573,398401496.941988
CE6E7,11416278.5709576,167315.114890352,459661965.93778,-11416278.5709576,-167315.114890352,460571165.959157
CF6F7,8760090.65288952,76394.5135323302,207980779.512811,-8760090.65288952,-76394.5135323302,212189044.915007
CG6G7,7855909.34711083,229599.378302548,629293435.390353,-7855909.34711083,-229599.378302548,633503145.273662
CA7A8,6222139.71123472,-66418.9226170858,-178988046.058481,-6222139.71123472,66418.9226170858,-186316028.33549
CB7B8,9327460.28876521,86785.5426935616,242324690.149911,-9327460.28876521,-86785.5426935616,234995794.664676
CC7C8,9178503.84928495,21577.5536442849,60073443.743825,-9178503.84928495,-21577.5536442849,58603101.2997419
CD7D8,10263624.161181,137936.13598399,380507443.531718,-10263624.161181,-137936.13598399,378141304.380227
CE7E8,10653871.9895338,163909.649602048,450112079.669763,-10653871.9895338,-163909.649602048,451390993.141501
CF7F8,8215209.87825146,76502.0838179241,208171612.033216,-8215209.87825146,-76502.0838179241,212589848.965364
CG7G8,7334390.12174892,229707.956875294,629488064.078039,-7334390.12174892,-229707.956875294,633905698.736073
CA8A9,5864871.90918908,-79043.2372447245,-214352429.833413,-5864871.90918908,79043.2372447245,-220385375.012572
CB8B9,8618328.09081092,74161.4506716007,206960742.024474,-8618328.09081092,-74161.4506716007,200927236.669334
CC8C9,8591748.68999872,15027.3174257816,41705224.3281045,-8591748.68999872,-15027.3174257816,40945021.5136909
CD8D9,9546006.41845834,130285.479811508,359227958.130358,-9546006.41845834,-130285.479811508,357342180.832934
CE8E9,9894244.89154281,160170.743215532,439650805.768493,-9894244.89154281,-160170.743215532,441288281.916933
CF8F9,7670175.04039159,76096.1471316426,206961072.174108,-7670175.04039159,-76096.1471316426,211567737.049928
CG8G9,6813024.95960879,229302.098988992,628277582.595953,-6813024.95960879,-229302.098988992,632883961.843501
CA9A10,5494746.04560696,-90983.7009158574,-247788746.935861,-5494746.04560696,90983.7009158574,-252621608.101355
